site,council,beachbugs
Clovelly Beach,Randwick Council,9
Clovelly Beach,Randwick Council,2
Clovelly Beach,Randwick Council,2
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,2
Clovelly Beach,Randwick Council,2
Clovelly Beach,Randwick Council,10
Clovelly Beach,Randwick Council,1
Coogee Beach,Randwick Council,9
Coogee Beach,Randwick Council,3
Coogee Beach,Randwick Council,4
Coogee Beach,Randwick Council,6
Coogee Beach,Randwick Council,15
Coogee Beach,Randwick Council,6
Coogee Beach,Randwick Council,4
Coogee Beach,Randwick Council,8
Coogee Beach,Randwick Council,0
Coogee Beach,Randwick Council,0
Coogee Beach,Randwick Council,5
Coogee Beach,Randwick Council,45
Coogee Beach,Randwick Council,45
Coogee Beach,Randwick Council,23
Coogee Beach,Randwick Council,6
Coogee Beach,Randwick Council,5
Coogee Beach,Randwick Council,3
Coogee Beach,Randwick Council,NA
Coogee Beach,Randwick Council,NA
Coogee Beach,Randwick Council,47
Coogee Beach,Randwick Council,18
Coogee Beach,Randwick Council,11
Coogee Beach,Randwick Council,65
Coogee Beach,Randwick Council,1
Coogee Beach,Randwick Council,5
Coogee Beach,Randwick Council,0
Coogee Beach,Randwick Council,0
Coogee Beach,Randwick Council,15
Coogee Beach,Randwick Council,31
Coogee Beach,Randwick Council,11
Coogee Beach,Randwick Council,38
Coogee Beach,Randwick Council,3
Coogee Beach,Randwick Council,8
Coogee Beach,Randwick Council,14
Coogee Beach,Randwick Council,0
Coogee Beach,Randwick Council,8
Coogee Beach,Randwick Council,22
Coogee Beach,Randwick Council,2
Coogee Beach,Randwick Council,26
Coogee Beach,Randwick Council,8
Coogee Beach,Randwick Council,6
Coogee Beach,Randwick Council,61
Coogee Beach,Randwick Council,42
Coogee Beach,Randwick Council,12
Coogee Beach,Randwick Council,3
Coogee Beach,Randwick Council,360
Coogee Beach,Randwick Council,21
Coogee Beach,Randwick Council,0
Coogee Beach,Randwick Council,2
Coogee Beach,Randwick Council,8
Gordons Bay (East),Randwick Council,0
Gordons Bay (East),Randwick Council,2
Gordons Bay (East),Randwick Council,0
Gordons Bay (East),Randwick Council,NA
Gordons Bay (East),Randwick Council,140
Gordons Bay (East),Randwick Council,15
Gordons Bay (East),Randwick Council,52
Gordons Bay (East),Randwick Council,340
Gordons Bay (East),Randwick Council,1
Gordons Bay (East),Randwick Council,24
Gordons Bay (East),Randwick Council,2
Gordons Bay (East),Randwick Council,7
Gordons Bay (East),Randwick Council,53
Gordons Bay (East),Randwick Council,1
Gordons Bay (East),Randwick Council,1
Gordons Bay (East),Randwick Council,0
Gordons Bay (East),Randwick Council,2
Gordons Bay (East),Randwick Council,2
Gordons Bay (East),Randwick Council,16
Gordons Bay (East),Randwick Council,11
Gordons Bay (East),Randwick Council,3
Gordons Bay (East),Randwick Council,23
Gordons Bay (East),Randwick Council,2
Gordons Bay (East),Randwick Council,0
Gordons Bay (East),Randwick Council,0
Gordons Bay (East),Randwick Council,0
Gordons Bay (East),Randwick Council,11
Gordons Bay (East),Randwick Council,1
Gordons Bay (East),Randwick Council,NA
Gordons Bay (East),Randwick Council,8
Gordons Bay (East),Randwick Council,1
Gordons Bay (East),Randwick Council,1
Gordons Bay (East),Randwick Council,2
Gordons Bay (East),Randwick Council,33
Gordons Bay (East),Randwick Council,20
Gordons Bay (East),Randwick Council,2
Gordons Bay (East),Randwick Council,1
Gordons Bay (East),Randwick Council,4
Gordons Bay (East),Randwick Council,49
Gordons Bay (East),Randwick Council,0
Gordons Bay (East),Randwick Council,2
Gordons Bay (East),Randwick Council,0
Gordons Bay (East),Randwick Council,8
Gordons Bay (East),Randwick Council,2
Gordons Bay (East),Randwick Council,0
Gordons Bay (East),Randwick Council,0
Gordons Bay (East),Randwick Council,0
Gordons Bay (East),Randwick Council,3
Gordons Bay (East),Randwick Council,0
Gordons Bay (East),Randwick Council,0
Little Bay Beach,Randwick Council,15
Little Bay Beach,Randwick Council,2
Little Bay Beach,Randwick Council,3
Little Bay Beach,Randwick Council,0
Little Bay Beach,Randwick Council,0
Little Bay Beach,Randwick Council,4
Little Bay Beach,Randwick Council,6
Little Bay Beach,Randwick Council,2
Little Bay Beach,Randwick Council,9
Little Bay Beach,Randwick Council,3
Little Bay Beach,Randwick Council,5
Little Bay Beach,Randwick Council,19
Little Bay Beach,Randwick Council,26
Little Bay Beach,Randwick Council,4
Little Bay Beach,Randwick Council,4
Little Bay Beach,Randwick Council,26
Little Bay Beach,Randwick Council,79
Little Bay Beach,Randwick Council,15
Little Bay Beach,Randwick Council,1
Little Bay Beach,Randwick Council,3
Little Bay Beach,Randwick Council,19
Little Bay Beach,Randwick Council,33
Little Bay Beach,Randwick Council,19
Little Bay Beach,Randwick Council,2100
Little Bay Beach,Randwick Council,50
Little Bay Beach,Randwick Council,7
Little Bay Beach,Randwick Council,7
Little Bay Beach,Randwick Council,2
Little Bay Beach,Randwick Council,1
Little Bay Beach,Randwick Council,54
Little Bay Beach,Randwick Council,3
Little Bay Beach,Randwick Council,16
Little Bay Beach,Randwick Council,13
Little Bay Beach,Randwick Council,0
Little Bay Beach,Randwick Council,4
Little Bay Beach,Randwick Council,0
Little Bay Beach,Randwick Council,3
Little Bay Beach,Randwick Council,54
Little Bay Beach,Randwick Council,2
Little Bay Beach,Randwick Council,2
Little Bay Beach,Randwick Council,76
Little Bay Beach,Randwick Council,2
Little Bay Beach,Randwick Council,18
Little Bay Beach,Randwick Council,1
Little Bay Beach,Randwick Council,0
Little Bay Beach,Randwick Council,10
Little Bay Beach,Randwick Council,110
Little Bay Beach,Randwick Council,3
Little Bay Beach,Randwick Council,NA
Little Bay Beach,Randwick Council,NA
Malabar Beach,Randwick Council,NA
Malabar Beach,Randwick Council,3
Malabar Beach,Randwick Council,1
Malabar Beach,Randwick Council,1
Malabar Beach,Randwick Council,NA
Malabar Beach,Randwick Council,26
Malabar Beach,Randwick Council,40
Malabar Beach,Randwick Council,1
Malabar Beach,Randwick Council,33
Malabar Beach,Randwick Council,6
Malabar Beach,Randwick Council,17
Malabar Beach,Randwick Council,260
Malabar Beach,Randwick Council,90
Malabar Beach,Randwick Council,16
Malabar Beach,Randwick Council,5
Malabar Beach,Randwick Council,10
Malabar Beach,Randwick Council,3
Malabar Beach,Randwick Council,5
Malabar Beach,Randwick Council,0
Malabar Beach,Randwick Council,9
Malabar Beach,Randwick Council,24
Malabar Beach,Randwick Council,54
Malabar Beach,Randwick Council,40
Malabar Beach,Randwick Council,110
Malabar Beach,Randwick Council,9
Malabar Beach,Randwick Council,52
Malabar Beach,Randwick Council,65
Malabar Beach,Randwick Council,27
Malabar Beach,Randwick Council,50
Malabar Beach,Randwick Council,320
Malabar Beach,Randwick Council,32
Malabar Beach,Randwick Council,130
Malabar Beach,Randwick Council,12
Malabar Beach,Randwick Council,9
Malabar Beach,Randwick Council,3
Malabar Beach,Randwick Council,38
Malabar Beach,Randwick Council,10
Malabar Beach,Randwick Council,14
Malabar Beach,Randwick Council,3
Malabar Beach,Randwick Council,13
Malabar Beach,Randwick Council,12
Malabar Beach,Randwick Council,22
Malabar Beach,Randwick Council,7
Malabar Beach,Randwick Council,4
Malabar Beach,Randwick Council,160
Malabar Beach,Randwick Council,17
Malabar Beach,Randwick Council,10
Malabar Beach,Randwick Council,42
Malabar Beach,Randwick Council,0
Malabar Beach,Randwick Council,11
Maroubra Beach,Randwick Council,8
Maroubra Beach,Randwick Council,48
Maroubra Beach,Randwick Council,6
Maroubra Beach,Randwick Council,0
Maroubra Beach,Randwick Council,21
Maroubra Beach,Randwick Council,4
Maroubra Beach,Randwick Council,7
Maroubra Beach,Randwick Council,1
Maroubra Beach,Randwick Council,6
Maroubra Beach,Randwick Council,0
Maroubra Beach,Randwick Council,7
Maroubra Beach,Randwick Council,1
Maroubra Beach,Randwick Council,0
Maroubra Beach,Randwick Council,0
Maroubra Beach,Randwick Council,0
Maroubra Beach,Randwick Council,22
Maroubra Beach,Randwick Council,NA
Maroubra Beach,Randwick Council,NA
Maroubra Beach,Randwick Council,2
Maroubra Beach,Randwick Council,2
Maroubra Beach,Randwick Council,9
Maroubra Beach,Randwick Council,1
Maroubra Beach,Randwick Council,3
Maroubra Beach,Randwick Council,0
Maroubra Beach,Randwick Council,0
Maroubra Beach,Randwick Council,0
Maroubra Beach,Randwick Council,1
Maroubra Beach,Randwick Council,1
Maroubra Beach,Randwick Council,1
Maroubra Beach,Randwick Council,3
Maroubra Beach,Randwick Council,23
Maroubra Beach,Randwick Council,3
Maroubra Beach,Randwick Council,28
Maroubra Beach,Randwick Council,6
Maroubra Beach,Randwick Council,4
Maroubra Beach,Randwick Council,0
Maroubra Beach,Randwick Council,10
Maroubra Beach,Randwick Council,1
Maroubra Beach,Randwick Council,2
Maroubra Beach,Randwick Council,0
Maroubra Beach,Randwick Council,NA
Maroubra Beach,Randwick Council,4
Maroubra Beach,Randwick Council,25
Maroubra Beach,Randwick Council,1
Maroubra Beach,Randwick Council,50
Maroubra Beach,Randwick Council,110
Maroubra Beach,Randwick Council,10
Maroubra Beach,Randwick Council,1
Maroubra Beach,Randwick Council,0
Maroubra Beach,Randwick Council,1
South Maroubra Beach,Randwick Council,1
South Maroubra Beach,Randwick Council,0
South Maroubra Beach,Randwick Council,2
South Maroubra Beach,Randwick Council,300
South Maroubra Beach,Randwick Council,46
South Maroubra Beach,Randwick Council,0
South Maroubra Beach,Randwick Council,1
South Maroubra Beach,Randwick Council,11
South Maroubra Beach,Randwick Council,5
South Maroubra Beach,Randwick Council,13
South Maroubra Beach,Randwick Council,6
South Maroubra Beach,Randwick Council,2
South Maroubra Beach,Randwick Council,6
South Maroubra Beach,Randwick Council,1
South Maroubra Beach,Randwick Council,6
South Maroubra Beach,Randwick Council,4
South Maroubra Beach,Randwick Council,12
South Maroubra Beach,Randwick Council,14
South Maroubra Beach,Randwick Council,1
South Maroubra Beach,Randwick Council,0
South Maroubra Beach,Randwick Council,2
South Maroubra Beach,Randwick Council,1
South Maroubra Beach,Randwick Council,0
South Maroubra Beach,Randwick Council,2
South Maroubra Beach,Randwick Council,1
South Maroubra Beach,Randwick Council,7
South Maroubra Beach,Randwick Council,0
South Maroubra Beach,Randwick Council,3
South Maroubra Beach,Randwick Council,9
South Maroubra Beach,Randwick Council,0
South Maroubra Beach,Randwick Council,1
South Maroubra Beach,Randwick Council,10
South Maroubra Beach,Randwick Council,NA
South Maroubra Beach,Randwick Council,NA
South Maroubra Beach,Randwick Council,18
South Maroubra Beach,Randwick Council,3
South Maroubra Beach,Randwick Council,3
South Maroubra Beach,Randwick Council,8
South Maroubra Beach,Randwick Council,1
South Maroubra Beach,Randwick Council,8
South Maroubra Beach,Randwick Council,8
South Maroubra Beach,Randwick Council,3
South Maroubra Beach,Randwick Council,3
South Maroubra Beach,Randwick Council,0
South Maroubra Beach,Randwick Council,1
South Maroubra Beach,Randwick Council,0
South Maroubra Beach,Randwick Council,21
South Maroubra Beach,Randwick Council,45
South Maroubra Beach,Randwick Council,0
South Maroubra Beach,Randwick Council,11
South Maroubra Rockpool,Randwick Council,0
South Maroubra Rockpool,Randwick Council,1
South Maroubra Rockpool,Randwick Council,27
South Maroubra Rockpool,Randwick Council,76
South Maroubra Rockpool,Randwick Council,18
South Maroubra Rockpool,Randwick Council,0
South Maroubra Rockpool,Randwick Council,200
South Maroubra Rockpool,Randwick Council,24
South Maroubra Rockpool,Randwick Council,1
South Maroubra Rockpool,Randwick Council,2
South Maroubra Rockpool,Randwick Council,4
South Maroubra Rockpool,Randwick Council,31
South Maroubra Rockpool,Randwick Council,15
South Maroubra Rockpool,Randwick Council,0
South Maroubra Rockpool,Randwick Council,13
South Maroubra Rockpool,Randwick Council,52
South Maroubra Rockpool,Randwick Council,17
South Maroubra Rockpool,Randwick Council,1600
South Maroubra Rockpool,Randwick Council,NA
South Maroubra Rockpool,Randwick Council,4
South Maroubra Rockpool,Randwick Council,10
South Maroubra Rockpool,Randwick Council,0
South Maroubra Rockpool,Randwick Council,1300
South Maroubra Rockpool,Randwick Council,5
South Maroubra Rockpool,Randwick Council,50
South Maroubra Rockpool,Randwick Council,26
South Maroubra Rockpool,Randwick Council,15
South Maroubra Rockpool,Randwick Council,0
South Maroubra Rockpool,Randwick Council,3
South Maroubra Rockpool,Randwick Council,6
South Maroubra Rockpool,Randwick Council,5
South Maroubra Rockpool,Randwick Council,33
South Maroubra Rockpool,Randwick Council,9
South Maroubra Rockpool,Randwick Council,1700
South Maroubra Rockpool,Randwick Council,19
South Maroubra Rockpool,Randwick Council,0
South Maroubra Rockpool,Randwick Council,4
South Maroubra Rockpool,Randwick Council,10
South Maroubra Rockpool,Randwick Council,0
South Maroubra Rockpool,Randwick Council,6
South Maroubra Rockpool,Randwick Council,18
South Maroubra Rockpool,Randwick Council,30
South Maroubra Rockpool,Randwick Council,6
South Maroubra Rockpool,Randwick Council,1
South Maroubra Rockpool,Randwick Council,13
South Maroubra Rockpool,Randwick Council,1
South Maroubra Rockpool,Randwick Council,1
South Maroubra Rockpool,Randwick Council,0
South Maroubra Rockpool,Randwick Council,29
South Maroubra Rockpool,Randwick Council,NA
Bondi Beach,Waverley Council,NA
Bondi Beach,Waverley Council,2
Bondi Beach,Waverley Council,12
Bondi Beach,Waverley Council,12
Bondi Beach,Waverley Council,9
Bondi Beach,Waverley Council,4
Bondi Beach,Waverley Council,2
Bondi Beach,Waverley Council,0
Bondi Beach,Waverley Council,27
Bondi Beach,Waverley Council,4
Bondi Beach,Waverley Council,3
Bondi Beach,Waverley Council,2
Bondi Beach,Waverley Council,8
Bondi Beach,Waverley Council,10
Bondi Beach,Waverley Council,1
Bondi Beach,Waverley Council,2
Bondi Beach,Waverley Council,6
Bondi Beach,Waverley Council,3
Bondi Beach,Waverley Council,5
Bondi Beach,Waverley Council,2
Bondi Beach,Waverley Council,0
Bondi Beach,Waverley Council,2
Bondi Beach,Waverley Council,0
Bondi Beach,Waverley Council,0
Bondi Beach,Waverley Council,1
Bondi Beach,Waverley Council,1
Bondi Beach,Waverley Council,NA
Bondi Beach,Waverley Council,130
Bondi Beach,Waverley Council,2
Bondi Beach,Waverley Council,48
Bondi Beach,Waverley Council,2
Bondi Beach,Waverley Council,250
Bondi Beach,Waverley Council,12
Bondi Beach,Waverley Council,200
Bondi Beach,Waverley Council,120
Bondi Beach,Waverley Council,17
Bondi Beach,Waverley Council,3
Bondi Beach,Waverley Council,3
Bondi Beach,Waverley Council,8
Bondi Beach,Waverley Council,11
Bondi Beach,Waverley Council,21
Bondi Beach,Waverley Council,16
Bondi Beach,Waverley Council,21
Bondi Beach,Waverley Council,NA
Bondi Beach,Waverley Council,1
Bondi Beach,Waverley Council,1
Bondi Beach,Waverley Council,NA
Bondi Beach,Waverley Council,28
Bondi Beach,Waverley Council,39
Bondi Beach,Waverley Council,1
Bronte Beach,Waverley Council,0
Bronte Beach,Waverley Council,0
Bronte Beach,Waverley Council,0
Bronte Beach,Waverley Council,1
Bronte Beach,Waverley Council,5
Bronte Beach,Waverley Council,28
Bronte Beach,Waverley Council,1
Bronte Beach,Waverley Council,7
Bronte Beach,Waverley Council,1
Bronte Beach,Waverley Council,5
Bronte Beach,Waverley Council,12
Bronte Beach,Waverley Council,4
Bronte Beach,Waverley Council,24
Bronte Beach,Waverley Council,24
Bronte Beach,Waverley Council,9
Bronte Beach,Waverley Council,1
Bronte Beach,Waverley Council,3
Bronte Beach,Waverley Council,4
Bronte Beach,Waverley Council,32
Bronte Beach,Waverley Council,3
Bronte Beach,Waverley Council,7
Bronte Beach,Waverley Council,14
Bronte Beach,Waverley Council,1
Bronte Beach,Waverley Council,30
Bronte Beach,Waverley Council,10
Bronte Beach,Waverley Council,32
Bronte Beach,Waverley Council,1400
Bronte Beach,Waverley Council,72
Bronte Beach,Waverley Council,3
Bronte Beach,Waverley Council,3
Bronte Beach,Waverley Council,3
Bronte Beach,Waverley Council,4
Bronte Beach,Waverley Council,56
Bronte Beach,Waverley Council,0
Bronte Beach,Waverley Council,3
Bronte Beach,Waverley Council,2
Bronte Beach,Waverley Council,10
Bronte Beach,Waverley Council,14
Bronte Beach,Waverley Council,0
Bronte Beach,Waverley Council,0
Bronte Beach,Waverley Council,5
Bronte Beach,Waverley Council,7
Bronte Beach,Waverley Council,1
Bronte Beach,Waverley Council,5
Bronte Beach,Waverley Council,6
Bronte Beach,Waverley Council,3
Bronte Beach,Waverley Council,NA
Bronte Beach,Waverley Council,NA
Bronte Beach,Waverley Council,29
Bronte Beach,Waverley Council,200
Tamarama Beach,Waverley Council,NA
Tamarama Beach,Waverley Council,NA
Tamarama Beach,Waverley Council,76
Tamarama Beach,Waverley Council,7
Tamarama Beach,Waverley Council,1
Tamarama Beach,Waverley Council,4
Tamarama Beach,Waverley Council,1
Tamarama Beach,Waverley Council,10
Tamarama Beach,Waverley Council,3
Tamarama Beach,Waverley Council,0
Tamarama Beach,Waverley Council,4
Tamarama Beach,Waverley Council,32
Tamarama Beach,Waverley Council,0
Tamarama Beach,Waverley Council,7
Tamarama Beach,Waverley Council,2
Tamarama Beach,Waverley Council,1
Tamarama Beach,Waverley Council,5
Tamarama Beach,Waverley Council,3
Tamarama Beach,Waverley Council,1
Tamarama Beach,Waverley Council,2
Tamarama Beach,Waverley Council,4
Tamarama Beach,Waverley Council,0
Tamarama Beach,Waverley Council,0
Tamarama Beach,Waverley Council,0
Tamarama Beach,Waverley Council,35
Tamarama Beach,Waverley Council,110
Tamarama Beach,Waverley Council,3
Tamarama Beach,Waverley Council,100
Tamarama Beach,Waverley Council,16
Tamarama Beach,Waverley Council,4
Tamarama Beach,Waverley Council,27
Tamarama Beach,Waverley Council,2
Tamarama Beach,Waverley Council,3
Tamarama Beach,Waverley Council,6
Tamarama Beach,Waverley Council,0
Tamarama Beach,Waverley Council,1
Tamarama Beach,Waverley Council,20
Tamarama Beach,Waverley Council,9
Tamarama Beach,Waverley Council,140
Tamarama Beach,Waverley Council,2
Tamarama Beach,Waverley Council,5
Tamarama Beach,Waverley Council,1
Tamarama Beach,Waverley Council,0
Tamarama Beach,Waverley Council,2
Tamarama Beach,Waverley Council,2
Tamarama Beach,Waverley Council,40
Tamarama Beach,Waverley Council,0
Tamarama Beach,Waverley Council,51
Tamarama Beach,Waverley Council,1
Tamarama Beach,Waverley Council,0
